Team,Opp,WorL,TeamPTS,OppPTS,W,L
Toronto Raptors,New Orleans Pelicans,W,130,122,1,0
Toronto Raptors,Boston Celtics,L,106,112,1,1
Toronto Raptors,Chicago Bulls,W,108,84,2,1
Toronto Raptors,Orlando Magic,W,104,95,3,1
Toronto Raptors,Detroit Pistons,W,125,113,4,1
Toronto Raptors,Milwaukee Bucks,L,105,115,4,2
Toronto Raptors,Sacramento Kings,W,124,120,5,2
Toronto Raptors,New Orleans Pelicans,W,122,104,6,2
Toronto Raptors,Los Angeles Lakers,W,113,104,7,2
Toronto Raptors,Los Angeles Clippers,L,88,98,7,3
Toronto Raptors,Portland Trail Blazers,W,114,106,8,3
Toronto Raptors,Dallas Mavericks,L,102,110,8,4
Toronto Raptors,Charlotte Hornets,W,132,96,9,4
Toronto Raptors,Orlando Magic,W,113,97,10,4
Toronto Raptors,Atlanta Hawks,W,119,116,11,4
Toronto Raptors,Philadelphia 76ers,W,101,96,12,4
Toronto Raptors,New York Knicks,W,126,98,13,4
Toronto Raptors,Orlando Magic,W,90,83,14,4
Toronto Raptors,Utah Jazz,W,130,110,15,4
Toronto Raptors,Miami Heat,L,110,121,15,5
Toronto Raptors,Houston Rockets,L,109,119,15,6
Toronto Raptors,Philadelphia 76ers,L,104,110,15,7
Toronto Raptors,Chicago Bulls,W,93,92,16,7
Toronto Raptors,Los Angeles Clippers,L,92,112,16,8
Toronto Raptors,Brooklyn Nets,W,110,102,17,8
Toronto Raptors,Cleveland Cavaliers,W,133,113,18,8
Toronto Raptors,Detroit Pistons,W,112,99,19,8
Toronto Raptors,Washington Wizards,W,122,118,20,8
Toronto Raptors,Dallas Mavericks,W,110,107,21,8
Toronto Raptors,Indiana Pacers,L,115,120,21,9
Toronto Raptors,Boston Celtics,L,102,118,21,10
Toronto Raptors,Boston Celtics,W,113,97,22,10
Toronto Raptors,Oklahoma City Thunder,L,97,98,22,11
Toronto Raptors,Cleveland Cavaliers,W,117,97,23,11
Toronto Raptors,Miami Heat,L,76,84,23,12
Toronto Raptors,Brooklyn Nets,W,121,102,24,12
Toronto Raptors,Portland Trail Blazers,L,99,101,24,13
Toronto Raptors,Charlotte Hornets,W,112,110,25,13
Toronto Raptors,San Antonio Spurs,L,104,105,25,14
Toronto Raptors,Oklahoma City Thunder,W,130,121,26,14
Toronto Raptors,Washington Wizards,W,140,111,27,14
Toronto Raptors,Minnesota Timberwolves,W,122,112,28,14
Toronto Raptors,Atlanta Hawks,W,122,117,29,14
Toronto Raptors,Philadelphia 76ers,W,107,95,30,14
Toronto Raptors,New York Knicks,W,118,112,31,14
Toronto Raptors,San Antonio Spurs,W,110,106,32,14
Toronto Raptors,Atlanta Hawks,W,130,114,33,14
Toronto Raptors,Cleveland Cavaliers,W,115,109,34,14
Toronto Raptors,Detroit Pistons,W,105,92,35,14
Toronto Raptors,Chicago Bulls,W,129,102,36,14
Toronto Raptors,Indiana Pacers,W,119,118,37,14
Toronto Raptors,Indiana Pacers,W,115,106,38,14
Toronto Raptors,Brooklyn Nets,W,119,118,39,14
Toronto Raptors,Minnesota Timberwolves,W,137,126,40,14
Toronto Raptors,Brooklyn Nets,L,91,101,40,15
Toronto Raptors,Phoenix Suns,W,118,101,41,15
Toronto Raptors,Indiana Pacers,W,127,81,42,15
Toronto Raptors,Milwaukee Bucks,L,97,108,42,16
Toronto Raptors,Charlotte Hornets,L,96,99,42,17
Toronto Raptors,Denver Nuggets,L,118,133,42,18
Toronto Raptors,Phoenix Suns,W,123,114,43,18
Toronto Raptors,Golden State Warriors,W,121,113,44,18
Toronto Raptors,Sacramento Kings,W,118,113,45,18
Toronto Raptors,Utah Jazz,W,101,92,46,18
Boston Celtics,Philadelphia 76ers,L,93,107,0,1
Boston Celtics,Toronto Raptors,W,112,106,1,1
Boston Celtics,New York Knicks,W,118,95,2,1
Boston Celtics,Milwaukee Bucks,W,116,105,3,1
Boston Celtics,New York Knicks,W,104,102,4,1
Boston Celtics,Cleveland Cavaliers,W,119,113,5,1
Boston Celtics,Charlotte Hornets,W,108,87,6,1
Boston Celtics,San Antonio Spurs,W,135,115,7,1
Boston Celtics,Dallas Mavericks,W,116,106,8,1
Boston Celtics,Washington Wizards,W,140,133,9,1
Boston Celtics,Golden State Warriors,W,105,100,10,1
Boston Celtics,Sacramento Kings,L,99,100,10,2
Boston Celtics,Phoenix Suns,W,99,85,11,2
Boston Celtics,Los Angeles Clippers,L,104,107,11,3
Boston Celtics,Denver Nuggets,L,92,96,11,4
Boston Celtics,Sacramento Kings,W,103,102,12,4
Boston Celtics,Brooklyn Nets,W,121,110,13,4
Boston Celtics,Brooklyn Nets,L,107,112,13,5
Boston Celtics,New York Knicks,W,113,104,14,5
Boston Celtics,Miami Heat,W,112,93,15,5
Boston Celtics,Denver Nuggets,W,108,95,16,5
Boston Celtics,Cleveland Cavaliers,W,110,88,17,5
Boston Celtics,Indiana Pacers,L,117,122,17,6
Boston Celtics,Philadelphia 76ers,L,109,115,17,7
Boston Celtics,Dallas Mavericks,W,109,103,18,7
Boston Celtics,Detroit Pistons,W,114,93,19,7
Boston Celtics,Charlotte Hornets,W,119,93,20,7
Boston Celtics,Toronto Raptors,W,118,102,21,7
Boston Celtics,Cleveland Cavaliers,W,129,117,22,7
Boston Celtics,Toronto Raptors,L,97,113,22,8
Boston Celtics,Charlotte Hornets,W,109,92,23,8
Boston Celtics,Atlanta Hawks,W,109,106,24,8
Boston Celtics,Chicago Bulls,W,111,104,25,8
Boston Celtics,Washington Wizards,L,94,99,25,9
Boston Celtics,San Antonio Spurs,L,114,129,25,10
Boston Celtics,Philadelphia 76ers,L,98,109,25,11
Boston Celtics,New Orleans Pelicans,W,140,105,26,11
Boston Celtics,Chicago Bulls,W,113,101,27,11
Boston Celtics,Detroit Pistons,L,103,116,27,12
Boston Celtics,Milwaukee Bucks,L,123,128,27,13
Boston Celtics,Phoenix Suns,L,119,123,27,14
Boston Celtics,Los Angeles Lakers,W,139,107,28,14
Boston Celtics,Memphis Grizzlies,W,119,95,29,14
Boston Celtics,Orlando Magic,W,109,98,30,14
Boston Celtics,New Orleans Pelicans,L,108,123,30,15
Boston Celtics,Miami Heat,W,109,101,31,15
Boston Celtics,Golden State Warriors,W,119,104,32,15
Boston Celtics,Philadelphia 76ers,W,116,95,33,15
Boston Celtics,Atlanta Hawks,W,123,115,34,15
Boston Celtics,Orlando Magic,W,116,100,35,15
Boston Celtics,Atlanta Hawks,W,112,107,36,15
Boston Celtics,Oklahoma City Thunder,W,112,111,37,15
Boston Celtics,Houston Rockets,L,105,116,37,16
Boston Celtics,Los Angeles Clippers,W,141,133,38,16
Boston Celtics,Minnesota Timberwolves,W,127,117,39,16
Boston Celtics,Los Angeles Lakers,L,112,114,39,17
Boston Celtics,Portland Trail Blazers,W,118,106,40,17
Boston Celtics,Utah Jazz,W,114,103,41,17
Boston Celtics,Houston Rockets,L,110,111,41,18
Boston Celtics,Brooklyn Nets,L,120,129,41,19
Boston Celtics,Cleveland Cavaliers,W,112,106,42,19
Boston Celtics,Utah Jazz,L,94,99,42,20
Boston Celtics,Oklahoma City Thunder,L,104,105,42,21
Boston Celtics,Indiana Pacers,W,114,111,43,21
Philadelphia 76ers,Boston Celtics,W,107,93,1,0
Philadelphia 76ers,Detroit Pistons,W,117,111,2,0
Philadelphia 76ers,Atlanta Hawks,W,105,103,3,0
Philadelphia 76ers,Minnesota Timberwolves,W,117,95,4,0
Philadelphia 76ers,Portland Trail Blazers,W,129,128,5,0
Philadelphia 76ers,Phoenix Suns,L,109,114,5,1
Philadelphia 76ers,Utah Jazz,L,104,106,5,2
Philadelphia 76ers,Denver Nuggets,L,97,100,5,3
Philadelphia 76ers,Charlotte Hornets,W,114,106,6,3
Philadelphia 76ers,Cleveland Cavaliers,W,98,97,7,3
Philadelphia 76ers,Orlando Magic,L,97,112,7,4
Philadelphia 76ers,Oklahoma City Thunder,L,119,127,7,5
Philadelphia 76ers,Cleveland Cavaliers,W,114,95,8,5
Philadelphia 76ers,New York Knicks,W,109,104,9,5
Philadelphia 76ers,San Antonio Spurs,W,115,104,10,5
Philadelphia 76ers,Miami Heat,W,113,86,11,5
Philadelphia 76ers,Toronto Raptors,L,96,101,11,6
Philadelphia 76ers,Sacramento Kings,W,97,91,12,6
Philadelphia 76ers,New York Knicks,W,101,95,13,6
Philadelphia 76ers,Indiana Pacers,W,119,116,14,6
Philadelphia 76ers,Utah Jazz,W,103,94,15,6
Philadelphia 76ers,Washington Wizards,L,113,119,15,7
Philadelphia 76ers,Cleveland Cavaliers,W,141,94,16,7
Philadelphia 76ers,Toronto Raptors,W,110,104,17,7
Philadelphia 76ers,Denver Nuggets,W,97,92,18,7
Philadelphia 76ers,Boston Celtics,W,115,109,19,7
Philadelphia 76ers,New Orleans Pelicans,W,116,109,20,7
Philadelphia 76ers,Brooklyn Nets,L,89,109,20,8
Philadelphia 76ers,Miami Heat,L,104,108,20,9
Philadelphia 76ers,Dallas Mavericks,L,98,117,20,10
Philadelphia 76ers,Washington Wizards,W,125,108,21,10
Philadelphia 76ers,Detroit Pistons,W,125,109,22,10
